user_id	item_id	time
1	1	970185600
2	2	983404800
3	2	996105600
4	3	996278400
5	4	1007078400
6	5	1007164800
7	6	1011744000
5	7	1016236800
8	8	1025913600
9	9	1030838400
10	8	1038268800
11	10	1045526400
12	10	1046304000
8	10	1049587200
13	8	1052438400
14	11	1054166400
15	8	1054771200
16	12	1059177600
17	13	1059436800
18	13	1059696000
19	13	1060300800
20	14	1063065600
20	15	1064448000
7	16	1065484800
21	17	1068249600
22	14	1069545600
23	18	1070150400
21	19	1070409600
21	20	1070409600
21	21	1070409600
21	22	1070409600
21	23	1070409600
24	24	1070582400
21	25	1070582400
25	13	1070668800
26	28	1070841600
27	29	1071100800
28	30	1071187200
29	31	1071532800
30	2	1072569600
10	32	1073001600
15	18	1073347200
31	33	1073865600
32	17	1074038400
33	34	1074124800
34	35	1074988800
35	29	1075507200
36	36	1075680000
37	37	1075852800
38	24	1076025600
38	12	1077148800
38	38	1077148800
39	34	1077667200
20	34	1078012800
20	39	1078012800
40	18	1079222400
26	7	1079740800
41	40	1079827200
42	12	1080172800
43	2	1081555200
44	8	1082073600
45	24	1082505600
46	40	1082764800
46	41	1082764800
47	15	1083024000
14	42	1083369600
48	18	1083456000
47	24	1083888000
49	8	1084406400
50	43	1085270400
51	17	1085788800
52	44	1087171200
53	8	1087430400
54	42	1087862400
55	4	1088467200
7	18	1088640000
56	45	1089417600
33	42	1089504000
46	8	1089849600
57	38	1089849600
58	18	1089936000
59	39	1090281600
60	24	1090713600
61	8	1091664000
62	46	1093996800
63	18	1093996800
64	6	1094169600
65	47	1094860800
66	46	1095120000
67	48	1096243200
68	49	1097107200
69	41	1097366400
70	46	1097452800
71	50	1097452800
72	51	1098144000
73	48	1098403200
74	48	1098662400
75	25	1099008000
76	42	1099094400
76	38	1099094400
77	13	1099440000
78	40	1099612800
45	52	1100217600
38	53	1100736000
46	7	1101081600
79	54	1101340800
80	49	1101686400
81	51	1102204800
60	55	1103155200
82	2	1103155200
83	49	1104192000
84	40	1104537600
85	56	1104883200
86	15	1105574400
84	53	1106006400
45	53	1106092800
87	34	1106265600
88	8	1106524800
88	41	1106611200
89	57	1107129600
90	8	1107388800
91	58	1107820800
92	52	1107993600
93	59	1108080000
71	14	1109462400
94	50	1109808000
95	40	1110067200
96	60	1111363200
97	57	1114732800
98	46	1115078400
99	55	1115164800
22	18	1115424000
100	61	1116633600
101	42	1117843200
102	48	1118016000
66	18	1118102400
75	28	1118188800
103	41	1118361600
104	62	1118448000
105	30	1119225600
34	63	1119916800
106	55	1120953600
93	47	1121212800
107	3	1121558400
108	12	1122508800
108	38	1122508800
109	55	1122508800
110	51	1123804800
111	64	1123977600
112	55	1124323200
14	65	1124323200
19	66	1124582400
93	23	1124928000
93	45	1125014400
14	46	1125187200
113	67	1125446400
114	67	1125446400
96	51	1125705600
115	67	1125792000
57	66	1125792000
116	67	1126137600
117	52	1126483200
118	68	1126742400
119	60	1127088000
120	53	1127433600
32	69	1127865600
121	41	1128038400
122	56	1128384000
66	70	1128556800
123	60	1128643200
124	30	1128902400
125	71	1128988800
14	66	1128988800
126	57	1129075200
127	67	1129420800
128	20	1129852800
128	21	1129852800
129	56	1131667200
130	62	1131926400
66	72	1132099200
131	39	1132272000
132	30	1132963200
133	2	1133481600
31	56	1133740800
57	24	1133827200
134	73	1134432000
135	39	1134777600
136	55	1135728000
137	60	1135814400
138	74	1137024000
139	18	1137283200
33	29	1137283200
140	49	1138579200
141	61	1138838400
48	75	1139270400
142	43	1140566400
143	76	1140739200
144	71	1140825600
145	77	1141171200
146	78	1141516800
147	79	1141862400
135	62	1141862400
148	77	1141948800
149	80	1141948800
150	62	1142380800
151	81	1142467200
66	82	1142726400
152	75	1143417600
153	83	1144108800
154	74	1144454400
155	74	1144540800
156	43	1144972800
157	53	1145318400
158	6	1145404800
159	57	1145836800
159	84	1146528000
160	83	1146787200
161	85	1147392000
75	86	1148342400
162	44	1148515200
163	87	1148688000
124	2	1148688000
164	2	1148860800
73	88	1148860800
73	60	1149033600
165	72	1149638400
166	89	1151193600
167	57	1151280000
168	61	1152662400
166	1	1152748800
169	90	1153008000
170	77	1153612800
171	91	1153958400
172	84	1154044800
173	92	1154217600
174	48	1154649600
175	93	1154822400
128	88	1155254400
166	54	1156204800
176	88	1156204800
177	94	1156204800
178	95	1156377600
178	1	1156377600
179	55	1156377600
180	96	1156896000
181	97	1157328000
182	77	1157328000
183	76	1158192000
30	98	1158537600
184	83	1158624000
185	77	1159574400
186	31	1159660800
146	19	1159920000
187	48	1160092800
188	99	1160179200
189	100	1160265600
97	101	1160352000
190	102	1160524800
191	100	1161043200
192	93	1161216000
193	94	1161561600
194	55	1162080000
195	103	1162771200
195	104	1162771200
195	105	1162771200
196	99	1162857600
195	23	1163030400
195	17	1163030400
195	106	1163030400
197	92	1163116800
198	84	1163203200
199	84	1163721600
200	107	1163808000
201	76	1163980800
202	108	1164758400
175	109	1164758400
203	110	1165104000
203	111	1165104000
203	112	1165104000
204	88	1165449600
205	92	1165622400
146	113	1165795200
71	114	1166054400
206	115	1166832000
207	116	1167091200
208	117	1167350400
208	71	1167350400
78	66	1167350400
203	118	1167436800
209	120	1167436800
53	61	1167609600
210	7	1167782400
211	74	1167782400
212	77	1167782400
213	121	1167782400
167	122	1167955200
53	123	1168128000
214	124	1168300800
215	125	1168300800
216	84	1168300800
217	126	1168300800
74	121	1168300800
218	124	1168473600
219	127	1168560000
220	6	1168992000
221	128	1169164800
91	82	1169337600
91	125	1169337600
222	129	1169337600
223	126	1169510400
181	75	1169510400
224	60	1169510400
94	92	1169856000
225	130	1169942400
226	131	1169942400
227	90	1170115200
228	84	1170115200
228	113	1170115200
229	132	1170115200
230	84	1170720000
229	133	1170806400
231	94	1170979200
232	134	1170979200
233	121	1171238400
234	135	1171238400
235	62	1171238400
236	136	1171411200
237	137	1171411200
238	138	1171411200
239	67	1171843200
240	126	1171929600
152	121	1172102400
241	139	1172102400
242	10	1172448000
243	107	1172620800
244	70	1172707200
78	140	1172793600
245	141	1173225600
246	134	1173312000
247	52	1173312000
237	142	1173484800
138	143	1173484800
248	144	1173571200
40	136	1173657600
181	88	1173744000
249	145	1173744000
250	115	1173830400
186	93	1174003200
251	137	1174089600
252	124	1174262400
253	142	1174262400
254	126	1174348800
